food,calorie,protein,carbs,fat,Goals,Preferences,Restrictions
Chicken Breast,165,31.0,0.0,3.6,Weight loss,Protein-Rich Foods,Lactose intolerant
Salmon,206,22.0,0.0,13.0,Muscle gain,Protein-Rich Foods,No Restriction
Brown Rice,215,5.0,45.0,1.6,General health,Whole Grains,Gluten-free
Broccoli,55,3.7,11.0,0.6,Weight loss,Vegetables,Lactose intolerant
Almonds,7,0.3,0.6,0.6,Weight loss,Protein-Rich Foods,No Restriction
Whole Wheat Bread,69,3.0,12.0,1.0,Muscle gain,Whole Grains,No Restriction
Greek Yogurt,59,10.0,3.0,0.4,General health,Dairy,No Restriction
Spinach,23,2.9,3.0,0.4,General health,Vegetables,No Restriction
Apple,95,0.5,25.0,0.3,Weight loss,Fruits,Gluten-free
Olive Oil,119,0.0,0.0,13.5,General health,,No Restriction
Quinoa,120,4.0,21.0,2.0,Muscle gain,Whole Grains,Gluten-free
Banana,105,1.3,27.0,0.3,General health,Fruits,No Restriction
Eggs,68,5.5,0.6,4.8,General health,Protein-Rich Foods,No Restriction
Avocado,160,2.0,9.0,15.0,Weight loss,Fruits,No Restriction
Cottage Cheese,206,28.0,6.0,9.0,Muscle gain,Dairy,Lactose intolerant
Sweet Potato,112,2.0,26.0,0.2,General health,Whole Grains,No Restriction
Turkey Breast,135,30.0,0.0,1.0,Weight loss,Protein-Rich Foods,No Restriction
Tofu,144,15.0,3.9,8.2,General health,Vegetarian,No Restriction
Quinoa Salad,180,4.0,29.0,6.0,Muscle gain,Whole Grains,Gluten-free
Blueberries,57,0.7,14.5,0.3,General health,Fruits,No Restriction
Salad Greens,5,0.5,1.0,0.0,Weight loss,Vegetables,No Restriction
Peanut Butter,188,8.0,6.0,16.0,Muscle gain,Protein-Rich Foods,No Restriction
Mango,60,0.8,15.0,0.4,General health,Fruits,No Restriction
Chickpeas,164,8.9,27.0,2.6,Muscle gain,Protein-Rich Foods,Vegetarian
Yogurt Parfait,210,12.0,36.0,3.5,Muscle gain,Dairy,No Restriction
Cauliflower Rice,25,2.0,5.0,0.2,Weight loss,Vegetables,No Restriction
Lentils,230,18.0,40.0,1.0,Muscle gain,Vegetarian,No Restriction
Salmon Salad,280,25.0,8.0,18.0,Weight loss,Protein-Rich Foods,No Restriction
Oatmeal,150,5.0,27.0,2.0,Muscle gain,Whole Grains,No Restriction
Cucumber,16,0.7,3.6,0.2,Weight loss,Vegetables,No Restriction
Pineapple,50,0.5,13.0,0.1,General health,Fruits,No Restriction
Cottage Cheese Wrap,300,25.0,30.0,10.0,Muscle gain,Dairy,No Restriction
Kale,33,2.9,6.7,0.5,Weight loss,Vegetables,No Restriction
Ground Turkey,220,26.0,0.0,12.0,Weight loss,Protein-Rich Foods,No Restriction
Quinoa Bowl,320,14.0,54.0,6.0,Muscle gain,Whole Grains,Gluten-free
Carrot Sticks,41,0.9,10.0,0.2,General health,Vegetables,No Restriction
Shrimp Stir Fry,200,25.0,12.0,8.0,Weight loss,Protein-Rich Foods,No Restriction
Pumpkin Seeds,180,9.0,7.0,14.0,Muscle gain,Protein-Rich Foods,No Restriction
Mushroom Risotto,320,8.0,56.0,8.0,General health,Vegetarian,No Restriction
Grapes,69,0.6,18.0,0.2,General health,Fruits,No Restriction
Tuna Salad Wrap,250,20.0,15.0,12.0,Weight loss,Protein-Rich Foods,No Restriction
Chia Pudding,150,4.0,12.0,9.0,Weight loss,Whole Grains,Vegetarian
Green Beans,31,1.8,7.0,0.1,Weight loss,Vegetables,No Restriction
Cottage Cheese Pancakes,280,25.0,20.0,10.0,Muscle gain,Dairy,No Restriction
Barley Salad,220,5.0,45.0,2.0,General health,Whole Grains,Vegetarian
Kiwi,61,1.1,15.0,0.5,General health,Fruits,No Restriction
Turkey Burger,250,28.0,5.0,13.0,Weight loss,Protein-Rich Foods,No Restriction
Quiche,320,14.0,18.0,22.0,General health,Dairy,No Restriction
Black Beans,120,7.0,22.0,1.0,Muscle gain,Vegetarian,No Restriction
Orange,62,1.2,16.0,0.2,General health,Fruits,No Restriction
Grilled Chicken Salad,180,25.0,8.0,6.0,Weight loss,Protein-Rich Foods,No Restriction
Hummus,70,2.0,8.0,4.0,General health,Vegetarian,No Restriction
Cabbage Slaw,45,1.2,11.0,0.1,Weight loss,Vegetables,No Restriction
Milk,103,8.0,12.0,2.4,Muscle gain,Dairy,Lactose intolerant
Spaghetti Squash,31,1.0,7.0,0.6,General health,Vegetarian,No Restriction
Papaya,43,0.5,11.0,0.4,General health,Fruits,No Restriction
Tofu Stir-Fry,180,16.0,12.0,8.0,General health,Vegetarian,No Restriction
Walnuts,185,4.3,3.9,18.0,Muscle gain,Nuts,No Restriction
Pasta Primavera,250,8.0,50.0,2.0,General health,Whole Grains,Vegetarian
Dragon Fruit,60,1.0,13.0,1.0,General health,Fruits,No Restriction
Salmon Sushi Roll,300,15.0,40.0,10.0,Weight loss,Protein-Rich Foods,No Restriction
Quinoa Salad Bowl,280,9.0,40.0,8.0,General health,Whole Grains,Vegetarian
Asparagus,20,2.2,3.7,0.2,Weight loss,Vegetables,No Restriction
Almond Milk,13,1.0,0.5,1.0,Muscle gain,Nuts,Lactose intolerant
Couscous Salad,180,5.0,35.0,1.5,General health,Whole Grains,Vegetarian
Mango Smoothie,120,2.0,30.0,0.6,General health,Fruits,No Restriction
Pecans,196,2.6,3.9,20.0,Muscle gain,Nuts,No Restriction
Eggplant Parmesan,220,12.0,14.0,14.0,General health,Vegetarian,No Restriction
Grapefruit,52,0.6,13.0,0.2,Weight loss,Fruits,No Restriction
Chicken Caesar Salad,350,30.0,10.0,20.0,Weight loss,Protein-Rich Foods,No Restriction
Buckwheat Pancakes,210,6.0,42.0,2.0,General health,Whole Grains,No Restriction
Zucchini,17,1.2,3.1,0.2,Weight loss,Vegetables,No Restriction
Coconut Milk,230,2.0,5.0,24.0,Muscle gain,Nuts,No Restriction
Chickpea Curry,250,12.0,45.0,5.0,General health,Vegetarian,No Restriction
Paprika,19,0.9,3.7,0.9,General health,Spices,No Restriction
Eggplant Stir-Fry,120,2.0,26.0,1.0,Weight loss,Vegetarian,No Restriction
Hazelnuts,176,4.2,5.1,17.7,Muscle gain,Nuts,No Restriction
Cauliflower Pizza,280,12.0,40.0,9.0,General health,Vegetarian,No Restriction
Berries Mix,70,1.0,17.0,0.5,General health,Fruits,No Restriction
Turkey Wrap,220,20.0,15.0,8.0,Weight loss,Protein-Rich Foods,No Restriction
Buckwheat Salad,200,5.0,40.0,2.0,General health,Whole Grains,No Restriction
Snap Peas,41,2.5,8.0,0.2,Weight loss,Vegetables,No Restriction
Coconut Water,46,0.9,8.9,0.5,Muscle gain,Fruits,No Restriction
Lentil Soup,150,9.0,28.0,1.0,General health,Vegetarian,No Restriction
Pomegranate,83,1.7,18.7,1.0,General health,Fruits,No Restriction
Cabbage Roll,150,10.0,20.0,3.0,Weight loss,Vegetarian,No Restriction
Pistachios,160,6.0,8.0,13.0,Muscle gain,Nuts,No Restriction
Vegetable Curry,220,6.0,40.0,5.0,General health,Vegetarian,No Restriction
Clementine,35,0.6,8.3,0.2,General health,Fruits,No Restriction
Grilled Shrimp Salad,180,22.0,10.0,7.0,Weight loss,Protein-Rich Foods,No Restriction
Wild Rice Bowl,280,7.0,56.0,2.0,General health,Whole Grains,No Restriction
Brussels Sprouts,38,3.0,8.0,0.3,Weight loss,Vegetables,No Restriction
Coconut Yogurt,120,2.0,15.0,5.0,Muscle gain,Dairy,Lactose intolerant
Chickpea Salad Wrap,220,9.0,40.0,4.0,General health,Vegetarian,No Restriction
Blueberry Smoothie,120,2.0,30.0,0.5,General health,Fruits,No Restriction
Stir-Fried Tofu,180,16.0,10.0,12.0,Weight loss,Vegetarian,No Restriction
Macadamia Nuts,200,2.2,4.0,21.0,Muscle gain,Nuts,No Restriction
Egg Fried Rice,250,8.0,45.0,5.0,General health,Whole Grains,No Restriction
Passion Fruit,68,2.2,17.0,0.5,General health,Fruits,No Restriction
Grilled Turkey Breast,170,30.0,1.0,4.0,Weight loss,Protein-Rich Foods,No Restriction
Millet Salad,210,7.0,40.0,3.0,General health,Whole Grains,No Restriction
Artichoke,47,3.3,10.0,0.2,Weight loss,Vegetables,No Restriction
Coconut Oil,120,0.0,0.0,14.0,Muscle gain,Fats,No Restriction
Black Bean Burger,220,15.0,30.0,4.0,General health,Vegetarian,No Restriction
Raspberry Smoothie,90,1.0,22.0,0.5,General health,Fruits,No Restriction
Chickpea Spinach Curry,220,8.0,35.0,5.0,General health,Vegetarian,No Restriction
Sunflower Seeds,200,7.0,7.0,17.0,Muscle gain,Nuts,No Restriction
Caprese Salad,180,12.0,5.0,13.0,Weight loss,Dairy,No Restriction
Papaya Salad,90,1.3,22.0,0.5,General health,Fruits,No Restriction
Shrimp Scampi,220,25.0,6.0,11.0,Weight loss,Protein-Rich Foods,No Restriction
Farro Bowl,240,10.0,48.0,1.5,General health,Whole Grains,No Restriction
Radish,16,0.7,3.4,0.1,Weight loss,Vegetables,No Restriction
Avocado Toast,200,4.0,14.0,15.0,Muscle gain,Fats,No Restriction
Mushroom Risotto,300,9.0,45.0,8.0,General health,Vegetarian,No Restriction
Strawberry Banana Smoothie,120,1.0,30.0,0.5,General health,Fruits,No Restriction
Lentil Stir-Fry,180,8.0,30.0,4.0,Weight loss,Vegetarian,No Restriction
Brazil Nuts,190,4.0,3.5,19.0,Muscle gain,Nuts,No Restriction
Quinoa Stuffed Bell Peppers,260,9.0,45.0,5.0,General health,Whole Grains,Vegetarian
Watermelon,30,0.6,8.0,0.2,General health,Fruits,No Restriction
Grilled Salmon Salad,200,25.0,10.0,8.0,Weight loss,Protein-Rich Foods,No Restriction
Bulgur Pilaf,180,6.0,35.0,1.0,General health,Whole Grains,No Restriction
Cucumber Salad,25,0.8,5.4,0.3,Weight loss,Vegetables,No Restriction
Almond Butter,190,6.0,6.0,16.0,Muscle gain,Nuts,No Restriction
Chickpea Buddha Bowl,240,10.0,35.0,7.0,General health,Vegetarian,No Restriction
Pineapple Coconut Smoothie,100,1.0,25.0,0.5,General health,Fruits,No Restriction
Sweet Potato Curry,220,6.0,40.0,3.0,General health,Vegetarian,No Restriction
Pine Nuts,190,3.5,3.7,19.0,Muscle gain,Nuts,No Restriction
Egg Fried Quinoa,230,10.0,30.0,7.0,General health,Whole Grains,No Restriction
Melon,45,0.9,11.0,0.2,General health,Fruits,No Restriction
Grilled Chicken Wrap,280,30.0,15.0,10.0,Weight loss,Protein-Rich Foods,No Restriction
Barley Salad Bowl,220,5.0,45.0,2.0,General health,Whole Grains,Vegetarian
Zucchini Noodles,30,2.0,5.0,0.3,Weight loss,Vegetables,No Restriction
Cashew Butter,190,5.0,8.0,16.0,Muscle gain,Nuts,No Restriction
Chickpea Fajita Bowl,260,12.0,40.0,5.0,General health,Vegetarian,No Restriction
Mango Pineapple Smoothie,110,1.0,28.0,0.5,General health,Fruits,No Restriction
Quinoa Stir-Fry,200,8.0,35.0,5.0,Weight loss,Vegetarian,No Restriction
Pecan Nuts,196,2.6,3.9,20.0,Muscle gain,Nuts,No Restriction
Cauliflower Rice Bowl,180,5.0,40.0,2.0,General health,Vegetarian,No Restriction
Dragon Fruit Bowl,80,2.0,18.0,0.5,General health,Fruits,No Restriction
Grilled Shrimp Skewers,160,22.0,5.0,8.0,Weight loss,Protein-Rich Foods,No Restriction
Millet Porridge,220,5.0,45.0,2.0,General health,Whole Grains,No Restriction
Broccoli Salad,35,3.0,6.0,0.4,Weight loss,Vegetables,No Restriction
Pistachio Butter,180,5.0,6.0,15.0,Muscle gain,Nuts,No Restriction
Chickpea Stir-Fry,240,10.0,35.0,6.0,General health,Vegetarian,No Restriction
Papaya Smoothie Bowl,120,2.0,30.0,0.5,General health,Fruits,No Restriction
Sweet Potato Bowl,250,6.0,50.0,3.0,General health,Vegetarian,No Restriction
Hazelnut Butter,180,4.0,3.0,18.0,Muscle gain,Nuts,No Restriction
Spaghetti Squash Pasta,180,5.0,40.0,2.0,General health,Whole Grains,Vegetarian
Apple Slices,52,0.3,14.0,0.2,Weight loss,Fruits,No Restriction
Grilled Turkey Burger,200,25.0,2.0,10.0,Weight loss,Protein-Rich Foods,No Restriction
Buckwheat Pancake Stack,220,7.0,45.0,1.5,General health,Whole Grains,No Restriction
Cabbage Slaw Bowl,60,1.5,15.0,0.2,Weight loss,Vegetables,No Restriction
Almond Yogurt,100,3.0,15.0,3.0,Muscle gain,Dairy,Lactose intolerant
Lentil Veggie Bowl,230,15.0,40.0,2.0,General health,Vegetarian,No Restriction
Mixed Berry Smoothie,110,2.0,25.0,0.5,General health,Fruits,No Restriction
Chickpea Avocado Salad,220,8.0,35.0,7.0,General health,Vegetarian,No Restriction
Walnut Butter,200,4.5,3.0,18.0,Muscle gain,Nuts,No Restriction
Cauliflower Gnocchi,190,5.0,35.0,1.0,General health,Vegetarian,No Restriction
Grilled Chicken Skewers,180,26.0,3.0,8.0,Weight loss,Protein-Rich Foods,No Restriction
Quinoa Breakfast Bowl,240,8.0,45.0,4.0,General health,Whole Grains,No Restriction
Zucchini Fritters,120,5.0,15.0,6.0,Weight loss,Vegetables,No Restriction
Cashew Milk,60,1.0,8.0,3.0,Muscle gain,Nuts,Lactose intolerant
Chickpea Tomato Curry,250,12.0,30.0,5.0,General health,Vegetarian,No Restriction
Berry Chia Pudding,150,3.0,20.0,7.0,General health,Fruits,No Restriction
Spinach Quinoa Salad,180,6.0,30.0,5.0,General health,Vegetarian,No Restriction
Sun-Dried Tomato Pesto,160,2.0,6.0,16.0,Muscle gain,Nuts,No Restriction
Cauliflower Pizza,220,8.0,30.0,9.0,General health,Vegetarian,No Restriction
Turkey and Veggie Stir-Fry,200,24.0,8.0,9.0,Weight loss,Protein-Rich Foods,No Restriction
Quinoa Buddha Bowl,240,9.0,40.0,6.0,General health,Whole Grains,Vegetarian
Cucumber Rolls,30,1.0,6.0,0.5,Weight loss,Vegetables,No Restriction
Coconut Cream,120,1.0,1.0,13.0,Muscle gain,Nuts,No Restriction
Chickpea Spinach Curry,250,12.0,35.0,6.0,General health,Vegetarian,No Restriction
Blueberry Acai Bowl,130,2.0,30.0,1.0,General health,Fruits,No Restriction
Chickpea and Quinoa Bowl,230,9.0,38.0,5.0,General health,Vegetarian,No Restriction
Cashew Hummus,180,6.0,10.0,14.0,Muscle gain,Nuts,No Restriction
Spaghetti Squash Stir-Fry,190,5.0,40.0,2.0,General health,Vegetarian,No Restriction
Orange Slices,62,1.2,15.0,0.2,General health,Fruits,No Restriction
Salmon Salad with Avocado,220,24.0,10.0,10.0,Weight loss,Protein-Rich Foods,No Restriction
Millet Porridge Bowl,250,7.0,50.0,2.0,General health,Whole Grains,No Restriction
Grilled Eggplant,40,2.0,8.0,0.5,Weight loss,Vegetables,No Restriction
Hazelnut Milk,80,2.0,1.0,7.0,Muscle gain,Nuts,Lactose intolerant
Chickpea and Spinach Stew,220,11.0,30.0,4.0,General health,Vegetarian,No Restriction
Mixed Berry Parfait,150,3.0,25.0,4.0,General health,Fruits,No Restriction
Quinoa and Black Bean Bowl,250,10.0,45.0,4.0,General health,Vegetarian,No Restriction
Almond Pesto,160,3.0,5.0,14.0,Muscle gain,Nuts,No Restriction
Zucchini Noodles with Pesto,180,5.0,15.0,12.0,General health,Vegetarian,No Restriction
Kiwi Slices,61,1.1,14.0,0.5,General health,Fruits,No Restriction
Grilled Turkey and Veggie Wrap,220,26.0,10.0,8.0,Weight loss,Protein-Rich Foods,No Restriction
Farro and Vegetable Salad,210,6.0,40.0,3.0,General health,Whole Grains,No Restriction
Cauliflower and Broccoli Soup,45,3.0,8.0,0.5,Weight loss,Vegetables,No Restriction
Chickpea and Tomato Pasta,240,12.0,30.0,5.0,General health,Vegetarian,No Restriction
Mixed Fruit Smoothie,110,2.0,25.0,0.5,General health,Fruits,No Restriction
Chickpea and Kale Salad,200,8.0,30.0,7.0,General health,Vegetarian,No Restriction
Peanut Butter,190,8.0,6.0,16.0,Muscle gain,Nuts,No Restriction
Mushroom and Spinach Risotto,220,7.0,45.0,4.0,General health,Vegetarian,No Restriction
Pear Slices,57,0.6,15.0,0.2,General health,Fruits,No Restriction
Grilled Chicken and Quinoa Bowl,240,28.0,15.0,9.0,Weight loss,Protein-Rich Foods,No Restriction
Brown Rice and Vegetable Stir-Fry,200,5.0,40.0,2.0,General health,Whole Grains,Vegetarian
Cucumber and Tomato Salad,30,1.0,6.0,0.3,Weight loss,Vegetables,No Restriction
Oat Milk,80,1.0,15.0,1.0,Muscle gain,Nuts,Lactose intolerant
Lentil and Quinoa Stew,230,13.0,30.0,5.0,General health,Vegetarian,No Restriction
Banana and Berry Smoothie,120,2.0,30.0,0.5,General health,Fruits,No Restriction
Quinoa and Chickpea Salad,220,10.0,35.0,5.0,General health,Vegetarian,No Restriction
Cashew and Basil Pesto,170,4.0,7.0,15.0,Muscle gain,Nuts,No Restriction
Sweet Potato Noodles,190,3.0,45.0,1.0,General health,Vegetarian,No Restriction
Mango Slices,60,0.6,15.0,0.4,General health,Fruits,No Restriction
Grilled Salmon and Asparagus,240,30.0,8.0,12.0,Weight loss,Protein-Rich Foods,No Restriction
Quinoa and Vegetable Stir-Fry,210,7.0,40.0,3.0,General health,Whole Grains,Vegetarian
Tomato and Cucumber Salsa,25,1.0,5.0,0.2,Weight loss,Vegetables,No Restriction
Chickpea and Spinach Pasta,240,12.0,30.0,5.0,General health,Vegetarian,No Restriction
Pineapple and Mango Smoothie,110,1.0,28.0,0.5,General health,Fruits,No Restriction
Whole Wheat Bread,80,3.0,15.0,1.0,General health,Whole Grains,No Restriction
Milk,120,8.0,12.0,5.0,General health,Dairy,Lactose intolerant
Strawberry Jam,50,0.0,12.0,0.0,General health,Sweets,No Restriction
Peanut Butter Sandwich,300,10.0,30.0,15.0,General health,Protein-Rich Foods,No Restriction
Grilled Chicken Burger,350,25.0,30.0,15.0,Weight loss,Protein-Rich Foods,No Restriction
Vegetarian Pizza,250,10.0,35.0,8.0,General health,Vegetarian,No Restriction
Eggs,70,6.0,1.0,5.0,General health,Protein-Rich Foods,No Restriction
Avocado Toast,200,4.0,15.0,15.0,General health,Fats,No Restriction
Orange Juice,110,1.0,26.0,0.5,General health,Fruits,No Restriction
Oatmeal,150,5.0,27.0,2.5,General health,Whole Grains,No Restriction
Mango Smoothie,120,2.0,30.0,0.5,General health,Fruits,No Restriction
Chicken Sandwich,300,20.0,30.0,12.0,Weight loss,Protein-Rich Foods,No Restriction
Cheese Pizza,280,12.0,36.0,10.0,General health,Dairy,No Restriction
Apple,95,0.5,25.0,0.3,General health,Fruits,No Restriction
Pasta with Tomato Sauce,200,7.0,40.0,1.0,General health,Vegetarian,No Restriction
Yogurt,150,8.0,12.0,8.0,General health,Dairy,Lactose intolerant
Scrambled Eggs,140,14.0,1.0,9.0,General health,Protein-Rich Foods,No Restriction
Peanut Butter and Jelly Sandwich,350,10.0,45.0,15.0,General health,Sweets,No Restriction
Green Salad,50,2.0,10.0,0.5,Weight loss,Vegetables,No Restriction
Brown Rice,215,5.0,45.0,1.6,General health,Whole Grains,No Restriction
Coffee,2,0.3,0.0,0.1,General health,Beverages,Caffeine sensitive
Cheese Sandwich,320,15.0,30.0,15.0,Weight loss,Dairy,No Restriction
Margherita Pizza,220,10.0,25.0,10.0,General health,Vegetarian,No Restriction
Spaghetti Bolognese,300,15.0,40.0,10.0,General health,Protein-Rich Foods,No Restriction
Milkshake,200,5.0,30.0,8.0,General health,Dairy,Lactose intolerant
Hard-Boiled Eggs,68,5.0,0.6,5.0,General health,Protein-Rich Foods,No Restriction
Peanut Butter Toast,180,7.0,20.0,10.0,Muscle gain,Nuts,No Restriction
Vegetable Stir-Fry,120,5.0,20.0,3.0,Weight loss,Vegetables,No Restriction
Salmon Sushi Roll,220,15.0,25.0,10.0,General health,Seafood,No Restriction
Green Tea,0,0.0,0.0,0.0,General health,Beverages,Caffeine sensitive
Turkey and Cheese Wrap,300,20.0,25.0,15.0,Weight loss,Dairy,No Restriction
Vegetarian Calzone,250,12.0,30.0,8.0,General health,Vegetarian,No Restriction
Apple Slices with Peanut Butter,180,5.0,20.0,10.0,Muscle gain,Nuts,No Restriction
Vegetable Lasagna,280,15.0,30.0,12.0,General health,Vegetarian,No Restriction
Iced Coffee,30,0.5,5.0,0.0,General health,Beverages,Caffeine sensitive
